ID,roi_1,roi_2,cor_r
AA343,vmPFC,dmPFC,0.4554201855152858
AA343,vmPFC,PCC,0.626575538992482
AA343,dmPFC,PCC,0.41647128994998556
AA343,vmPFC,a_ins,0.3272923609660586
AA343,dmPFC,a_ins,0.6148518973769541
AA343,PCC,a_ins,0.13271079251348272
AA343,vmPFC,pm_ins,0.14134122659868278
AA343,dmPFC,pm_ins,0.4772122061188913
AA343,PCC,pm_ins,0.02641515786968785
AA343,a_ins,pm_ins,0.6957881334365908
AA343,vmPFC,dACC,0.2770482124648333
AA343,dmPFC,dACC,0.6362932620477093
AA343,PCC,dACC,0.3078767976305537
AA343,a_ins,dACC,0.4893563546809805
AA343,pm_ins,dACC,0.5448187562947349
AA343,vmPFC,amyg,0.4902180214108356
AA343,dmPFC,amyg,0.31541181215000347
AA343,PCC,amyg,0.2275417053580339
AA343,a_ins,amyg,0.2512856181525867
AA343,pm_ins,amyg,0.24191000329341136
AA343,dACC,amyg,0.16949684676264704
AA343,vmPFC,TP,0.34991112213488346
AA343,dmPFC,TP,0.08945962960024124
AA343,PCC,TP,0.1939952128557296
AA343,a_ins,TP,-0.18766598025026576
AA343,pm_ins,TP,0.01391166289943617
AA343,dACC,TP,0.07714614762278102
AA343,amyg,TP,0.35493023115808675
AA343,vmPFC,dlPFC,0.4960470663458212
AA343,dmPFC,dlPFC,0.8048827546937204
AA343,PCC,dlPFC,0.46008430646533843
AA343,a_ins,dlPFC,0.5604432745124439
AA343,pm_ins,dlPFC,0.3776916620168013
AA343,dACC,dlPFC,0.41889594686176274
AA343,amyg,dlPFC,0.3508493898686659
AA343,TP,dlPFC,0.07714893506189381
AD421,vmPFC,dmPFC,0.5751579519647162
AD421,vmPFC,PCC,0.6908029591212246
AD421,dmPFC,PCC,0.4238848750242241
AD421,vmPFC,a_ins,0.5056281638687491
AD421,dmPFC,a_ins,0.4246150800386441
AD421,PCC,a_ins,0.06347156341094759
AD421,vmPFC,pm_ins,0.3619979861024401
AD421,dmPFC,pm_ins,0.34058674789105403
AD421,PCC,pm_ins,-8.71881934244693e-4
AD421,a_ins,pm_ins,0.5584450398220343
AD421,vmPFC,dACC,0.6148049748256731
AD421,dmPFC,dACC,0.5033990678016822
AD421,PCC,dACC,0.3717007477934105
AD421,a_ins,dACC,0.6381009306706888
AD421,pm_ins,dACC,0.6038790974494577
AD421,vmPFC,amyg,0.3850283157166692
AD421,dmPFC,amyg,0.20567454995830528
AD421,PCC,amyg,0.193689480952309
AD421,a_ins,amyg,0.2967064497266099
AD421,pm_ins,amyg,0.39652489442270333
AD421,dACC,amyg,0.2267917613793469
AD421,vmPFC,TP,0.21230595214208256
AD421,dmPFC,TP,0.3401418312694351
AD421,PCC,TP,0.1617270070954236
AD421,a_ins,TP,0.13397775577630028
AD421,pm_ins,TP,0.4019122053945187
AD421,dACC,TP,0.15622920936065196
AD421,amyg,TP,0.3527522482644468
AD421,vmPFC,dlPFC,0.6108205249657916
AD421,dmPFC,dlPFC,0.746883301453053
AD421,PCC,dlPFC,0.6009572862356175
AD421,a_ins,dlPFC,0.3006842213158974
AD421,pm_ins,dlPFC,0.21855197511035349
AD421,dACC,dlPFC,0.4736452754858466
AD421,amyg,dlPFC,0.19537455349542643
AD421,TP,dlPFC,0.23105877261754038
AG474,vmPFC,dmPFC,0.7310408707436841
AG474,vmPFC,PCC,0.6125340931382738
AG474,dmPFC,PCC,0.5412208349461926
AG474,vmPFC,a_ins,0.7132599851478343
AG474,dmPFC,a_ins,0.7931313401203326
AG474,PCC,a_ins,0.3164231799778971
AG474,vmPFC,pm_ins,0.5284052439111223
AG474,dmPFC,pm_ins,0.582598791792321
AG474,PCC,pm_ins,0.2178047263354432
AG474,a_ins,pm_ins,0.7093054846445095
AG474,vmPFC,dACC,0.6581501313692716
AG474,dmPFC,dACC,0.7332328909298014
AG474,PCC,dACC,0.23588726653216838
AG474,a_ins,dACC,0.7783985500456614
AG474,pm_ins,dACC,0.7532442383760314
AG474,vmPFC,amyg,0.608655250178721
AG474,dmPFC,amyg,0.5417326347307533
AG474,PCC,amyg,0.42420523215907474
AG474,a_ins,amyg,0.5232257853158472
AG474,pm_ins,amyg,0.6418498582860392
AG474,dACC,amyg,0.5516386091837893
AG474,vmPFC,TP,0.4534189049041218
AG474,dmPFC,TP,0.335148126125826
AG474,PCC,TP,0.41012192744338327
AG474,a_ins,TP,0.36926624302374067
AG474,pm_ins,TP,0.5044314680031363
AG474,dACC,TP,0.37193976457224
AG474,amyg,TP,0.6392096488723453
AG474,vmPFC,dlPFC,0.7228596774533781
AG474,dmPFC,dlPFC,0.8563412976662127
AG474,PCC,dlPFC,0.6975658468683741
AG474,a_ins,dlPFC,0.6445490519459239
AG474,pm_ins,dlPFC,0.509683358563842
AG474,dACC,dlPFC,0.5568228555387276
AG474,amyg,dlPFC,0.5299418591015462
AG474,TP,dlPFC,0.3739214059860498
AL747,vmPFC,dmPFC,0.4785315566970759
AL747,vmPFC,PCC,0.45616475919480953
AL747,dmPFC,PCC,0.36466052725338083
AL747,vmPFC,a_ins,0.430639522493325
AL747,dmPFC,a_ins,0.5302984438966618
AL747,PCC,a_ins,0.3021907587154209
AL747,vmPFC,pm_ins,0.37788981934054533
AL747,dmPFC,pm_ins,0.3850955776923801
AL747,PCC,pm_ins,0.049295990973866007
AL747,a_ins,pm_ins,0.5981447866984072
AL747,vmPFC,dACC,0.2856430346403495
AL747,dmPFC,dACC,0.46840505649102504
AL747,PCC,dACC,0.33211358614530556
AL747,a_ins,dACC,0.6697501816677012
AL747,pm_ins,dACC,0.5635531757610052
AL747,vmPFC,amyg,0.4717605283666235
AL747,dmPFC,amyg,0.2447277808502669
AL747,PCC,amyg,0.12852754394932375
AL747,a_ins,amyg,0.28104279647554775
AL747,pm_ins,amyg,0.48473988592149053
AL747,dACC,amyg,0.22849304002114668
AL747,vmPFC,TP,0.3255165589387214
AL747,dmPFC,TP,0.19349035754970503
AL747,PCC,TP,0.29724203790437326
AL747,a_ins,TP,0.09980154798424568
AL747,pm_ins,TP,0.1055165766991288
AL747,dACC,TP,0.15381378632657522
AL747,amyg,TP,0.42342102441784035
AL747,vmPFC,dlPFC,0.3781029805440382
AL747,dmPFC,dlPFC,0.8375442732145756
AL747,PCC,dlPFC,0.3342832047229875
AL747,a_ins,dlPFC,0.3464059063237523
AL747,pm_ins,dlPFC,0.3399523237173964
AL747,dACC,dlPFC,0.35466424912096217
AL747,amyg,dlPFC,0.27589301797748544
AL747,TP,dlPFC,0.17041143291113942
AM140,vmPFC,dmPFC,0.4655693206521956
AM140,vmPFC,PCC,0.7146819336651743
AM140,dmPFC,PCC,0.36331404645906357
AM140,vmPFC,a_ins,0.3501521185900411
AM140,dmPFC,a_ins,0.5717975736972666
AM140,PCC,a_ins,0.08827036440897436
AM140,vmPFC,pm_ins,0.15086058732344676
AM140,dmPFC,pm_ins,0.24960551567179506
AM140,PCC,pm_ins,-0.13388812437488704
AM140,a_ins,pm_ins,0.4808085365623741
AM140,vmPFC,dACC,0.3845045110041034
AM140,dmPFC,dACC,0.5447341570353761
AM140,PCC,dACC,0.1568043394000767
AM140,a_ins,dACC,0.6328890500142804
AM140,pm_ins,dACC,0.6298311812666596
AM140,vmPFC,amyg,0.21842319360915755
AM140,dmPFC,amyg,0.043214154081558716
AM140,PCC,amyg,0.2301558929249035
AM140,a_ins,amyg,0.13905206762174308
AM140,pm_ins,amyg,0.12706817947962823
AM140,dACC,amyg,0.14595608697925141
AM140,vmPFC,TP,0.19502484875657655
AM140,dmPFC,TP,0.08891752773904679
AM140,PCC,TP,0.1561804384853623
AM140,a_ins,TP,0.17715313091714574
AM140,pm_ins,TP,0.051511044698988456
AM140,dACC,TP,0.12308732264063928
AM140,amyg,TP,0.44004098112139495
AM140,vmPFC,dlPFC,0.5143881312577259
AM140,dmPFC,dlPFC,0.6855520453683286
AM140,PCC,dlPFC,0.6157453389922029
AM140,a_ins,dlPFC,0.20828569673803873
AM140,pm_ins,dlPFC,-0.0031748252332797107
AM140,dACC,dlPFC,0.16523913986156064
AM140,amyg,dlPFC,0.058598745436244
AM140,TP,dlPFC,-0.03117070809881595
AO631,vmPFC,dmPFC,0.5510845011695886
AO631,vmPFC,PCC,0.6330821690542877
AO631,dmPFC,PCC,0.49357458681629734
AO631,vmPFC,a_ins,0.5052187859969646
AO631,dmPFC,a_ins,0.702245792863139
AO631,PCC,a_ins,0.2082752454790915
AO631,vmPFC,pm_ins,0.32802249960833546
AO631,dmPFC,pm_ins,0.49053366603130183
AO631,PCC,pm_ins,0.04069702598159352
AO631,a_ins,pm_ins,0.6787195757908112
AO631,vmPFC,dACC,0.3585271148920058
AO631,dmPFC,dACC,0.6686361347393154
AO631,PCC,dACC,0.2556567413033005
AO631,a_ins,dACC,0.5785369142066225
AO631,pm_ins,dACC,0.6486722129606781
AO631,vmPFC,amyg,0.2841934641825062
AO631,dmPFC,amyg,0.0696422615988778
AO631,PCC,amyg,0.21025528187208936
AO631,a_ins,amyg,0.11477079400772872
AO631,pm_ins,amyg,0.08808313662876793
AO631,dACC,amyg,-0.14630110508686595
AO631,vmPFC,TP,0.4135014868627795
AO631,dmPFC,TP,0.17571486693082541
AO631,PCC,TP,0.3677268701781294
AO631,a_ins,TP,0.09011917168163242
AO631,pm_ins,TP,-0.04377259938978327
AO631,dACC,TP,0.013648282114274105
AO631,amyg,TP,0.5295716893645754
AO631,vmPFC,dlPFC,0.5144099155799003
AO631,dmPFC,dlPFC,0.6640932038919959
AO631,PCC,dlPFC,0.5367258986246017
AO631,a_ins,dlPFC,0.48062011993892007
AO631,pm_ins,dlPFC,0.23534814374193103
AO631,dACC,dlPFC,0.32811666725521754
AO631,amyg,dlPFC,0.14826086001986002
AO631,TP,dlPFC,0.23628047823151
AO851,vmPFC,dmPFC,0.364509380842724
AO851,vmPFC,PCC,0.49025823466667984
AO851,dmPFC,PCC,0.42848544709888764
AO851,vmPFC,a_ins,0.4354559300559419
AO851,dmPFC,a_ins,0.527825427911509
AO851,PCC,a_ins,0.22365142258427867
AO851,vmPFC,pm_ins,0.3504203959117136
AO851,dmPFC,pm_ins,0.4488370603649126
AO851,PCC,pm_ins,0.35315142180007125
AO851,a_ins,pm_ins,0.48782970635096773
AO851,vmPFC,dACC,0.21561900523032454
AO851,dmPFC,dACC,0.7628842192923512
AO851,PCC,dACC,0.5060075023691321
AO851,a_ins,dACC,0.29112022481557415
AO851,pm_ins,dACC,0.5294418603032827
AO851,vmPFC,amyg,0.4738677310988506
AO851,dmPFC,amyg,0.30552723227716944
AO851,PCC,amyg,0.38062764564772494
AO851,a_ins,amyg,0.2955840156459146
AO851,pm_ins,amyg,0.4389747680730305
AO851,dACC,amyg,0.36227908517635427
AO851,vmPFC,TP,0.375833429400522
AO851,dmPFC,TP,0.2601291509991713
AO851,PCC,TP,0.34200844771273115
AO851,a_ins,TP,0.16148263434597424
AO851,pm_ins,TP,0.1993716629791686
AO851,dACC,TP,0.21086382796915287
AO851,amyg,TP,0.5557077672984841
AO851,vmPFC,dlPFC,0.5184605373470761
AO851,dmPFC,dlPFC,0.8217926213682943
AO851,PCC,dlPFC,0.5089492961648351
AO851,a_ins,dlPFC,0.4872605244768175
AO851,pm_ins,dlPFC,0.367062232677398
AO851,dACC,dlPFC,0.6115870455341104
AO851,amyg,dlPFC,0.3119271900732463
AO851,TP,dlPFC,0.31301500246601754
AP493,vmPFC,dmPFC,0.4806351999338441
AP493,vmPFC,PCC,0.6451008774127335
AP493,dmPFC,PCC,0.26061918738934
AP493,vmPFC,a_ins,0.4486028222688281
AP493,dmPFC,a_ins,0.7010093486365071
AP493,PCC,a_ins,0.05502466143448764
AP493,vmPFC,pm_ins,0.34099052289511406
AP493,dmPFC,pm_ins,0.3068562657789633
AP493,PCC,pm_ins,0.0733172414814749
AP493,a_ins,pm_ins,0.5013071943188975
AP493,vmPFC,dACC,0.5642767896778401
AP493,dmPFC,dACC,0.66431684594724
AP493,PCC,dACC,0.31741913892877494
AP493,a_ins,dACC,0.6413041201959792
AP493,pm_ins,dACC,0.6058979618499073
AP493,vmPFC,amyg,0.3575757845702441
AP493,dmPFC,amyg,0.15952874977738613
AP493,PCC,amyg,0.17308876399012502
AP493,a_ins,amyg,0.32610800830413256
AP493,pm_ins,amyg,0.3030573392650181
AP493,dACC,amyg,0.20574011363430558
AP493,vmPFC,TP,0.11287838135757147
AP493,dmPFC,TP,0.11996271527122068
AP493,PCC,TP,0.014517587907405797
AP493,a_ins,TP,0.218930951935615
AP493,pm_ins,TP,0.006271252574264909
AP493,dACC,TP,-0.009043930895578301
AP493,amyg,TP,0.4013932457705857
AP493,vmPFC,dlPFC,0.5608430320612983
AP493,dmPFC,dlPFC,0.7964840554531389
AP493,PCC,dlPFC,0.4310499854195007
AP493,a_ins,dlPFC,0.5851985006984348
AP493,pm_ins,dlPFC,0.37841092575917673
AP493,dACC,dlPFC,0.721661880663616
AP493,amyg,dlPFC,0.1547580056638272
AP493,TP,dlPFC,0.03404412977698481
AP614,vmPFC,dmPFC,0.3476830213775769
AP614,vmPFC,PCC,0.6931332286824734
AP614,dmPFC,PCC,-0.019078396134217638
AP614,vmPFC,a_ins,0.08334220192905258
AP614,dmPFC,a_ins,0.6075882192213135
AP614,PCC,a_ins,-0.23696426093709425
AP614,vmPFC,pm_ins,-0.08314594370837917
AP614,dmPFC,pm_ins,0.12554281174864615
AP614,PCC,pm_ins,-0.009749509907861682
AP614,a_ins,pm_ins,0.1641380900125112
AP614,vmPFC,dACC,0.051686521571822776
AP614,dmPFC,dACC,0.6097987956074903
AP614,PCC,dACC,-0.015306177110749037
AP614,a_ins,dACC,0.5425891679690905
AP614,pm_ins,dACC,0.4621437784788861
AP614,vmPFC,amyg,0.2331903668060122
AP614,dmPFC,amyg,0.06169188149847524
AP614,PCC,amyg,0.20700899532394954
AP614,a_ins,amyg,-0.10071975758536693
AP614,pm_ins,amyg,0.49159977413387407
AP614,dACC,amyg,0.09691083291105658
AP614,vmPFC,TP,0.25081476983037576
AP614,dmPFC,TP,-0.18597728788370682
AP614,PCC,TP,0.3975690649266876
AP614,a_ins,TP,-0.26815251512843047
AP614,pm_ins,TP,0.3597749600063015
AP614,dACC,TP,-0.05076218687446503
AP614,amyg,TP,0.47104882775695334
AP614,vmPFC,dlPFC,0.6485139062739765
AP614,dmPFC,dlPFC,0.5722460718221066
AP614,PCC,dlPFC,0.40353926894687137
AP614,a_ins,dlPFC,0.25010612756841033
AP614,pm_ins,dlPFC,-0.16347141649823232
AP614,dACC,dlPFC,0.11651648159987969
AP614,amyg,dlPFC,0.08382204943734473
AP614,TP,dlPFC,-0.04964623241284214
AP624,vmPFC,dmPFC,0.7192543586117343
AP624,vmPFC,PCC,0.7397695349040463
AP624,dmPFC,PCC,0.6665249316317848
AP624,vmPFC,a_ins,0.6320529221525543
AP624,dmPFC,a_ins,0.671618199828359
AP624,PCC,a_ins,0.4100017100387895
AP624,vmPFC,pm_ins,0.5820506977041309
AP624,dmPFC,pm_ins,0.49568553258207193
AP624,PCC,pm_ins,0.3635031167348738
AP624,a_ins,pm_ins,0.6981466952127297
AP624,vmPFC,dACC,0.7499786846115546
AP624,dmPFC,dACC,0.7824587835091312
AP624,PCC,dACC,0.5701461739822807
AP624,a_ins,dACC,0.7353413568480847
AP624,pm_ins,dACC,0.7164887467294382
AP624,vmPFC,amyg,0.5599568346536711
AP624,dmPFC,amyg,0.39600243917924055
AP624,PCC,amyg,0.3616664260472674
AP624,a_ins,amyg,0.4663069206855982
AP624,pm_ins,amyg,0.6109403614858911
AP624,dACC,amyg,0.5178750601411847
AP624,vmPFC,TP,0.419746021949197
AP624,dmPFC,TP,0.3633202294521702
AP624,PCC,TP,0.26025681936368544
AP624,a_ins,TP,0.29989148174750657
AP624,pm_ins,TP,0.29128234538933234
AP624,dACC,TP,0.2857776521651029
AP624,amyg,TP,0.38171403072698573
AP624,vmPFC,dlPFC,0.7434004717008746
AP624,dmPFC,dlPFC,0.8408847751234533
AP624,PCC,dlPFC,0.723914444366086
AP624,a_ins,dlPFC,0.56311028259991
AP624,pm_ins,dlPFC,0.4319299031325446
AP624,dACC,dlPFC,0.6470089199963075
AP624,amyg,dlPFC,0.4153390456962522
AP624,TP,dlPFC,0.29215644313256955
AP954,vmPFC,dmPFC,0.3491899430368769
AP954,vmPFC,PCC,0.7769448167082429
AP954,dmPFC,PCC,0.22221968263833602
AP954,vmPFC,a_ins,0.22866049342823083
AP954,dmPFC,a_ins,0.47624964074718606
AP954,PCC,a_ins,-0.06387962938679688
AP954,vmPFC,pm_ins,0.03998228579507547
AP954,dmPFC,pm_ins,0.0990115627916701
AP954,PCC,pm_ins,-0.3030876325968865
AP954,a_ins,pm_ins,0.5778059983240607
AP954,vmPFC,dACC,0.2267761014787926
AP954,dmPFC,dACC,0.47141332253057167
AP954,PCC,dACC,-0.08618575589020856
AP954,a_ins,dACC,0.6079635480333049
AP954,pm_ins,dACC,0.5364002109736552
AP954,vmPFC,amyg,0.40205958957556703
AP954,dmPFC,amyg,0.25048408128527583
AP954,PCC,amyg,0.20413299448768576
AP954,a_ins,amyg,0.358000369992018
AP954,pm_ins,amyg,0.32043369068458527
AP954,dACC,amyg,0.24425481587419637
AP954,vmPFC,TP,0.433671327641697
AP954,dmPFC,TP,0.022746697322498753
AP954,PCC,TP,0.48466433926149355
AP954,a_ins,TP,-0.1973095095992416
AP954,pm_ins,TP,-0.10696560602392659
AP954,dACC,TP,-0.12462771236072083
AP954,amyg,TP,0.14616771664436065
AP954,vmPFC,dlPFC,0.41770045323606053
AP954,dmPFC,dlPFC,0.7647629310831827
AP954,PCC,dlPFC,0.28531182918147974
AP954,a_ins,dlPFC,0.30208926935110975
AP954,pm_ins,dlPFC,0.03760429788057258
AP954,dACC,dlPFC,0.32042984977952854
AP954,amyg,dlPFC,0.25405989477490215
AP954,TP,dlPFC,0.07499170887681444
AS599,vmPFC,dmPFC,0.5602655246010929
AS599,vmPFC,PCC,0.7351607950144795
AS599,dmPFC,PCC,0.6079491866151566
AS599,vmPFC,a_ins,0.6038325509013833
AS599,dmPFC,a_ins,0.6535963664411494
AS599,PCC,a_ins,0.5137871901131562
AS599,vmPFC,pm_ins,0.5930741641004951
AS599,dmPFC,pm_ins,0.512429108048113
AS599,PCC,pm_ins,0.5465277849238256
AS599,a_ins,pm_ins,0.7213639615046605
AS599,vmPFC,dACC,0.6940703984339295
AS599,dmPFC,dACC,0.7002368744267745
AS599,PCC,dACC,0.693056956277512
AS599,a_ins,dACC,0.6736058601427585
AS599,pm_ins,dACC,0.6625005540016562
AS599,vmPFC,amyg,0.4474215046282243
AS599,dmPFC,amyg,0.3890400641209775
AS599,PCC,amyg,0.3182440213286153
AS599,a_ins,amyg,0.4614248352886467
AS599,pm_ins,amyg,0.5257251532568605
AS599,dACC,amyg,0.36142553882543116
AS599,vmPFC,TP,0.12864303668677338
AS599,dmPFC,TP,0.2847832127999658
AS599,PCC,TP,0.15902391319543246
AS599,a_ins,TP,0.17544722131038748
AS599,pm_ins,TP,0.07765133181734907
AS599,dACC,TP,0.10105300285827051
AS599,amyg,TP,0.1653495014267411
AS599,vmPFC,dlPFC,0.6741735444328645
AS599,dmPFC,dlPFC,0.8298253263138101
AS599,PCC,dlPFC,0.706614496476876
AS599,a_ins,dlPFC,0.6021507624502922
AS599,pm_ins,dlPFC,0.5710551938841048
AS599,dACC,dlPFC,0.623885331127969
AS599,amyg,dlPFC,0.466004122433622
AS599,TP,dlPFC,0.23767932418923668
AS935,vmPFC,dmPFC,0.6292029865059299
AS935,vmPFC,PCC,0.5905681909331901
AS935,dmPFC,PCC,0.30979581909207526
AS935,vmPFC,a_ins,0.6033843678754098
AS935,dmPFC,a_ins,0.7448629731283424
AS935,PCC,a_ins,0.11947894299973938
AS935,vmPFC,pm_ins,0.5775250449551163
AS935,dmPFC,pm_ins,0.6924371312845927
AS935,PCC,pm_ins,0.15148023044198963
AS935,a_ins,pm_ins,0.8281332687989016
AS935,vmPFC,dACC,0.5353022975086544
AS935,dmPFC,dACC,0.7523994737482029
AS935,PCC,dACC,0.17178327910700858
AS935,a_ins,dACC,0.6809346469587466
AS935,pm_ins,dACC,0.7450921400013354
AS935,vmPFC,amyg,0.40483820473631393
AS935,dmPFC,amyg,0.2779861387616913
AS935,PCC,amyg,0.1404013884228064
AS935,a_ins,amyg,0.46712505128213533
AS935,pm_ins,amyg,0.47587060301848394
AS935,dACC,amyg,0.3413994469941818
AS935,vmPFC,TP,0.5990687388565559
AS935,dmPFC,TP,0.5063823710087734
AS935,PCC,TP,0.337487509332229
AS935,a_ins,TP,0.48690636771311774
AS935,pm_ins,TP,0.5708733300211931
AS935,dACC,TP,0.5158564548976943
AS935,amyg,TP,0.555926282528968
AS935,vmPFC,dlPFC,0.7250561251550748
AS935,dmPFC,dlPFC,0.7789416312330784
AS935,PCC,dlPFC,0.5349802013822786
AS935,a_ins,dlPFC,0.5650795487830998
AS935,pm_ins,dlPFC,0.4875009009612596
AS935,dACC,dlPFC,0.5322525895850911
AS935,amyg,dlPFC,0.28043028921674906
AS935,TP,dlPFC,0.4392283023861085
AT045,vmPFC,dmPFC,0.7863171806933654
AT045,vmPFC,PCC,0.7957033625411623
AT045,dmPFC,PCC,0.6262369670847086
AT045,vmPFC,a_ins,0.6005463842770803
AT045,dmPFC,a_ins,0.7670428247340362
AT045,PCC,a_ins,0.4996588048706718
AT045,vmPFC,pm_ins,0.4567260681374702
AT045,dmPFC,pm_ins,0.6047655839327414
AT045,PCC,pm_ins,0.409049097737201
AT045,a_ins,pm_ins,0.7531159368002694
AT045,vmPFC,dACC,0.6139873702959956
AT045,dmPFC,dACC,0.776984682795843
AT045,PCC,dACC,0.600664509949319
AT045,a_ins,dACC,0.8064119381415914
AT045,pm_ins,dACC,0.7596416529410895
AT045,vmPFC,amyg,0.6320391220748542
AT045,dmPFC,amyg,0.5498877809494362
AT045,PCC,amyg,0.4616840773146447
AT045,a_ins,amyg,0.49410829360095737
AT045,pm_ins,amyg,0.46947320610167603
AT045,dACC,amyg,0.4291125864934985
AT045,vmPFC,TP,0.5362352652982829
AT045,dmPFC,TP,0.5570338407198032
AT045,PCC,TP,0.36741161962952656
AT045,a_ins,TP,0.46137885538630846
AT045,pm_ins,TP,0.4649112491721277
AT045,dACC,TP,0.3990304136851368
AT045,amyg,TP,0.617706485310597
AT045,vmPFC,dlPFC,0.7971739188520165
AT045,dmPFC,dlPFC,0.8439610068947447
AT045,PCC,dlPFC,0.7881445387941752
AT045,a_ins,dlPFC,0.6877581544525119
AT045,pm_ins,dlPFC,0.5181719645084265
AT045,dACC,dlPFC,0.7425492517414878
AT045,amyg,dlPFC,0.514895084983077
